CO_ID,YYYY/MM,Quarter,consolidation,Month,Currency,Total cash and cash equivalents,Total current financial assets at fair value through profit or loss,Financial assets at fair value through other comprehensive income - Current,Financial assets measured at amortized cost - Current,Current financial assets for hedging,Current contract assets,Accounts & notes receivable,Other receivable,Loan to others - Short-Term,Total inventories,"Current biological assets, net",Total prepayments,Agency current-debit (for sea/land shipping business),"Non-current assets classified as held for sale, net",Total current tax assets,Other current financial assets,Other current assets,Total current assets,Total non-current financial assets at fair value through profit or loss,Financial assets at fair value through other comprehensive income - Non-Current,Financial assets measured at amortized cost - Non-Current,Non-current financial assets for hedging,Non-current contract assets,"Investments accounted for using equity method, net",Non-current prepayments for investments,"Total property, plant and equipment",Goodwill,"Franchise, net","Intangible assets under development, net",Other intangible assets,Goodwill and intangible assets,Deferred tax assets,Other deferred assets,Deferred assets,"Deferred debits, losses on inter-affiliate accounts",Right of use assets,"Investment property, net",Prepayments for business facilities,Long-term prepaid rents,Total non-current biological assets,Total other non-current assets - Others,Total other non-current assets,Total non-current assets,Total assets,Total short-term borrowings,Total short-term notes and bills payable,Total current financial liabilities at fair value through profit or loss,Current financial liabilities for hedging,Financial liabilities measured at amortized cost - Current,Current contract liabilities,Accounts and notes payable,Other payable,Current tax liabilities,Total current provisions,Liabilities included in disposal groups classified as held for sale,Other current financial liabilities,Current Lease Liabilities,"Total long-term liabilities, current portion",Current preference share liabilities,Agency current-credit (for sea/land and shipping business),Other current liability,Total current liabilities,Total non-current financial liabilities at fair value through profit or loss,Non-current financial liabilities for hedging,Financial liabilities measured at amortized cost - Non-Current,Non-current contract liabilities,Non-current preference share liabilities,Total bonds payable,Long-term bank loans,Other long-term payable,Non-current Lease Liabilities,Total non-current provisions,"Deferred credits, gains on inter-affiliate accounts",Accrued pension liabilities,Total deferred tax liabilities,Other non-current Liability,Total non-current liabilities,Total liabilities,Ordinary share,Preference share,Advance receipts for share capital,Stock dividend to be distributed,Certificate of entitlement to new shares,Capital,Total capital surplus,Legal reserve,Special reserve,Total unappropriated retained earnings (accumulated deficit),Total retained earnings,Total exchange differences on translation of foreign financial statements,Total unrealized gains (losses) on fin. assets at fair value through OCI,Credit risk on fair value measurement of financial liabilities,Remeasurement of defined benefit plans,Total gains (losses) on hedging instrument,"Total revaluation of property, plant, and equipment",Total equity related to non-current assets classified as held for sale,Other equity - unearned compensation,"Other equity, others",Total other equity interest,Treasury shares,Total equity attributable to owners of parent,Interests in the former associate or jointly controlled entity,Non-controlling interest in pre-acquisition share capital,Non-controlling interests,Total equity,Total liabilities & equity
1203 Ve Wong,2023/12,4,Y,12,NTD,1612746.00 ,0.00 ,0.00 ,355642.00 ,0.00 ,0.00 ,503181.00 ,10589.00 ,0.00 ,1627717.00 ,0.00 ,16398.00 ,0.00 ,0.00 ,530.00 ,323953.00 ,54768.00 ,4505524.00 ,0.00 ,292301.00 ,26442.00 ,0.00 ,0.00 ,26178.00 ,0.00 ,3074988.00 ,48196.00 ,0.00 ,0.00 ,3318.00 ,51514.00 ,20317.00 ,0.00 ,20317.00 ,0.00 ,99492.00 ,1722873.00 ,239893.00 ,0.00 ,0.00 ,52905.00 ,2115163.00 ,5606903.00 ,10112427.00 ,813000.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,431720.00 ,341671.00 ,156777.00 ,0.00 ,0.00 ,0.00 ,10926.00 ,0.00 ,0.00 ,0.00 ,105043.00 ,1859137.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,126000.00 ,0.00 ,92683.00 ,179899.00 ,0.00 ,0.00 ,1076499.00 ,16025.00 ,1491106.00 ,3350243.00 ,2400000.00 ,0.00 ,0.00 ,0.00 ,0.00 ,2400000.00 ,46016.00 ,525640.00 ,1005964.00 ,1716894.00 ,3248498.00 ,(65470.00),179496.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,114026.00 ,(38464.00),5770076.00 ,0.00 ,0.00 ,992108.00 ,6762184.00 ,10112427.00 
1234 HEY SONG,2023/12,4,Y,12,NTD,1489381.00 ,60101.00 ,0.00 ,64837.00 ,0.00 ,0.00 ,853029.00 ,115934.00 ,0.00 ,5423428.00 ,0.00 ,47961.00 ,0.00 ,0.00 ,0.00 ,0.00 ,20176.00 ,8074847.00 ,658.00 ,0.00 ,56251.00 ,0.00 ,0.00 ,846189.00 ,0.00 ,5878238.00 ,0.00 ,0.00 ,0.00 ,6688.00 ,6688.00 ,35560.00 ,0.00 ,35560.00 ,0.00 ,68051.00 ,7569877.00 ,37000.00 ,0.00 ,0.00 ,186638.00 ,7861566.00 ,14685150.00 ,22759997.00 ,700000.00 ,0.00 ,0.00 ,0.00 ,0.00 ,14015.00 ,354195.00 ,464703.00 ,136991.00 ,0.00 ,0.00 ,0.00 ,18846.00 ,0.00 ,0.00 ,0.00 ,40533.00 ,1729283.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,50416.00 ,0.00 ,0.00 ,63195.00 ,2142828.00 ,128360.00 ,2384799.00 ,4114082.00 ,4018711.00 ,0.00 ,0.00 ,0.00 ,0.00 ,4018711.00 ,187082.00 ,2665085.00 ,4357281.00 ,7305359.00 ,14327725.00 ,(32748.00),145145.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,112397.00 ,0.00 ,18645915.00 ,0.00 ,0.00 ,0.00 ,18645915.00 ,22759997.00 
